year	proposal	development_status	development_by	link
2015	Migrate dead external links to archives	done	CT	https://meta.wikimedia.org/wiki/Community_Tech/Migrate_dead_external_links_to_archives
2015	Improved diff comparisons	done	CT	https://meta.wikimedia.org/wiki/Community_Tech/Improved_diff_comparisons
2015	Central repository for gadgets, templates and Lua modules	declined	misc_WMF	https://meta.wikimedia.org/wiki/Community_Tech/Central_repository_for_gadgets,_templates_and_Lua_modules
2015	Cross-wiki watchlist	declined	None	https://meta.wikimedia.org/wiki/Community_Tech/Cross-wiki_watchlist
2015	Numerical sorting in categories	done	CT	https://meta.wikimedia.org/wiki/Community_Tech/Numerical_sorting_in_categories
2015	Pageview Stats tool	done	CT	https://meta.wikimedia.org/wiki/Community_Tech/Pageview_stats_tool
2015	Global cross-wiki user talk page	declined	None	https://meta.wikimedia.org/wiki/Community_Tech/Global_cross-wiki_talk_page
2015	Improve the plagiarism detection bot	done	CT	https://meta.wikimedia.org/wiki/Community_Tech/Improve_the_plagiarism_detection_bot
2015	Add a user watchlist	declined	None	https://meta.wikimedia.org/wiki/Community_Tech/Add_a_user_watchlist
2015	Allow categories in Commons in all languages	done	misc_WMF	https://meta.wikimedia.org/wiki/Community_Tech/Allow_categories_in_Commons_in_all_languages
2016	Global gadgets	declined	misc_WMF	https://meta.wikimedia.org/wiki/Community_Wishlist_Survey_2016/Categories/Bots_and_gadgets#CW2016-R001
2016	Edit summary length for non-Latin languages	done	misc_WMF	https://meta.wikimedia.org/wiki/Community_Tech/Edit_summary_length_for_non-Latin_languages
2016	Section heading URLs for non-Latin languages	done	CT	https://meta.wikimedia.org/wiki/Community_Tech/Section_heading_URLs_for_non-Latin_languages
2016	Global preferences	done	CT	https://meta.wikimedia.org/wiki/Community_Tech/Global_preferences
2016	Rewrite XTools	done	CT	https://meta.wikimedia.org/wiki/Community_Tech/Rewrite_Xtools
2016	Wikitext editor syntax highlighting	done	CT	https://meta.wikimedia.org/wiki/Community_Tech/Wikitext_editor_syntax_highlighting
2016	Warning on unsuccessful login attempts	done	CT	https://meta.wikimedia.org/wiki/Community_Tech/LoginNotify
2016	Automatic archive for new external links	declined	None	https://meta.wikimedia.org/wiki/Community_Wishlist_Survey_2016/Categories/Bots_and_gadgets#CW2016-R008
2016	Fix Mr.Z-bot's popular pages report	done	CT	https://meta.wikimedia.org/wiki/Community_Tech/Fix_Mr._Z-bot%27s_popular_pages_report
2016	User rights expiration	done	volunteers	https://meta.wikimedia.org/wiki/Community_Wishlist_Survey_2016/Categories/Admins_and_stewards#CW2016-R010
2017	Kartographer improvements	done	misc_WMF	https://meta.wikimedia.org/wiki/Community_Wishlist_Survey_2017/Miscellaneous/Kartographer_improvements
2017	Ping users from the edit summary	done	CT	https://meta.wikimedia.org/wiki/Community_Wishlist_Survey_2017/Editing/Ping_users_from_the_edit_summary
2017	Development of the programs and events dashboard	done	CT	https://meta.wikimedia.org/wiki/Community_Wishlist_Survey_2017/Programs_and_events/Development_of_the_programs_and_events_dashboard
2017	Blame tool	done	CT	https://meta.wikimedia.org/wiki/Community_Wishlist_Survey_2017/Search/Blame_tool
2017	Template wizard	done	CT	https://meta.wikimedia.org/wiki/Community_Wishlist_Survey_2017/Editing/Infobox_wizard
2017	Deploy Article Alerts to other languages	declined	CT	https://meta.wikimedia.org/wiki/Community_Wishlist_Survey_2017/Bots_and_gadgets/Deploy_Article_Alerts_to_other_languages
2017	Auto-save feature in Visual Editor and WikiText Editor	done	misc_WMF	https://meta.wikimedia.org/wiki/Community_Wishlist_Survey_2017/Editing/Auto-save_feature_in_Visual_Editor_and_WikiText_Editor
2017	Allow 'thanks' notification for a log entry	done	CT	https://meta.wikimedia.org/wiki/Community_Wishlist_Survey_2017/Miscellaneous/Allow_%27thanks%27_notification_for_a_log_entry
2017	SVG-Translate	done	CT	https://meta.wikimedia.org/wiki/Community_Wishlist_Survey_2017/Multimedia_and_Commons/SVG-Translate
2017	Commons deletion notification bot	done	CT	https://meta.wikimedia.org/wiki/Community_Wishlist_Survey_2017/Bots_and_gadgets/Commons_deletion_notification_bot
2019	Page Curation and New Pages Feed improvements	done	CT	https://meta.wikimedia.org/wiki/Community_Wishlist_Survey_2019/Admins_and_patrollers/Page_Curation_and_New_Pages_Feed_improvements
2019	Night mode	declined	None	https://meta.wikimedia.org/wiki/Community_Wishlist_Survey_2019/Reading/Night_mode
2019	Add an option to require email address and username to reset password	done	CT	https://meta.wikimedia.org/wiki/Community_Wishlist_Survey_2019/Anti-harassment/Add_an_option_to_require_email_address_and_username_to_reset_password
2019	Improve export of electronic books	done	CT	https://meta.wikimedia.org/wiki/Community_Wishlist_Survey_2019/Wikisource/Improve_export_of_electronic_books
2019	VisualEditor: Allow references to be named	declined	None	https://meta.wikimedia.org/wiki/Community_Wishlist_Survey_2019/Citations/VisualEditor:_Allow_references_to_be_named
2019	Put mw.toolbar back	declined	None	https://meta.wikimedia.org/wiki/Community_Wishlist_Survey_2019/Editing/Put_mw.toolbar_back
2019	Watchlist item expiration	done	CT	https://meta.wikimedia.org/wiki/Community_Wishlist_Survey_2019/Watchlists/Watchlist_item_expiration
2019	Article reminders	declined	None	https://meta.wikimedia.org/wiki/Community_Wishlist_Survey_2019/Notifications/Article_reminders
2019	Include section name in the diff	partially_done	CT	https://meta.wikimedia.org/wiki/Community_Wishlist_Survey_2019/Editing/Include_section_name_in_the_diff
2019	2FA available for all concerned editors	declined	None	https://meta.wikimedia.org/wiki/Community_Wishlist_Survey_2019/Bots_and_gadgets/2FA_available_for_all_concerned_editors
2020	Improve export of electronic books	done	CT	https://meta.wikimedia.org/wiki/Community_Wishlist_Survey_2020/Wikisource/Improve_export_of_electronic_books
2020	New OCR tool	done	CT	https://meta.wikimedia.org/wiki/Community_Wishlist_Survey_2020/Wikisource/New_OCR_tool
2020	Inter-language link support via Wikidata	partially_done	volunteers	https://meta.wikimedia.org/wiki/Community_Wishlist_Survey_2020/Wikisource/Inter-language_link_support_via_Wikidata
2020	Insert attestation using Wikisource as a corpus	not_done	CT	https://meta.wikimedia.org/wiki/Community_Wishlist_Survey_2020/Wiktionary/Insert_attestation_using_Wikisource_as_a_corpus
2020	Migrate Wikisource specific edit tools from gadgets to Wikisource extension	done	CT	https://meta.wikimedia.org/wiki/Community_Wishlist_Survey_2020/Wikisource/Migrate_Wikisource_specific_edit_tools_from_gadgets_to_Wikisource_extension
2021	Warn when linking to disambiguation pages	done	CT	https://meta.wikimedia.org/wiki/Community_Wishlist_Survey_2021/Editing/Warn_when_linking_to_disambiguation_pages
2021	Copy and paste from diffs	done 	CT	https://meta.wikimedia.org/wiki/Community_Wishlist_Survey_2021/Copy_paste_diffs
2021	Realtime Preview	done 	CT	https://meta.wikimedia.org/wiki/Community_Wishlist_Survey_2021/Editing/Live_preview
2021	(Un)delete associated talk page	done	CT	https://meta.wikimedia.org/wiki/Community_Wishlist_Survey_2021/Admins_and_patrollers/(Un)delete_associated_talk_page
2021	Bibliographic bot for Wikidata	declined	CT	https://meta.wikimedia.org/wiki/Community_Wishlist_Survey_2021/Bots_and_gadgets/Bibliographic_bot_for_Wikidata
2021	Allow global user rights to expire automatically	done	volunteers	https://meta.wikimedia.org/wiki/Community_Wishlist_Survey_2021/Admins_and_patrollers/Allow_global_user_rights_to_expire_automatically
2021	Global events calendar	done 	misc_WMF	https://meta.wikimedia.org/wiki/Community_Wishlist_Survey_2021/Miscellaneous/Global_events_calendar
2021	Link Wikipedia redirects to Wikidata items	done	misc_WMF	https://meta.wikimedia.org/wiki/Community_Wishlist_Survey_2021/Wikidata/Link_Wikipedia_redirects_to_Wikidata_items
2021	Inline Audio-Player for pronunciations and other usages	done 	CT	https://meta.wikimedia.org/wiki/Community_Wishlist_Survey_2021/Multimedia_and_Commons/Inline_Audio-Player_for_pronunciations_and_other_usages
2021	Mobile editnotices	partially_done	volunteers	https://meta.wikimedia.org/wiki/Community_Wishlist_Survey_2021/Mobile_and_apps/Mobile_editnotices
2022	Select preview image	partially_done	misc_WMF	https://meta.wikimedia.org/wiki/Community_Wishlist_Survey_2022/Editing/Select_preview_image
2022	Better diff handling of paragraph splits	done 	CT	https://meta.wikimedia.org/wiki/Community_Wishlist_Survey_2021/Editing/Better_diff_handling_of_paragraph_splits
2022	Notifications for user page edits	done 	misc_WMF	https://meta.wikimedia.org/wiki/Community_Wishlist_Survey_2022/Anti-harassment/Notifications_for_user_page_edits
2022	Tool that reviews new uploads for potential copyright violations	partially_done	misc_WMF	https://meta.wikimedia.org/wiki/Community_Wishlist_Survey_2022/Bots_and_gadgets/Tool_that_reviews_new_uploads_for_potential_copyright_violations
2022	Improve SVG rendering	partially_done	misc_WMF	https://meta.wikimedia.org/wiki/Community_Wishlist_Survey_2022/Multimedia_and_Commons/Improve_SVG_rendering
2022	IPA audio renderer	partially_done	CT	https://meta.wikimedia.org/wiki/Community_Wishlist_Survey_2022/Reading/IPA_audio_renderer
2022	Enhanced Move Logs	not_done	volunteers	https://meta.wikimedia.org/wiki/Community_Wishlist_Survey_2022/Miscellaneous/Enhanced_Move_Logs
2022	Change default number of search results displayed	done	volunteers	https://meta.wikimedia.org/wiki/Community_Wishlist_Survey_2022/Search/Change_default_number_of_search_results_displayed
2022	Autosuggest linking Wikidata item after creating an article	partially_done	CT	https://meta.wikimedia.org/wiki/Community_Wishlist_Survey_2022/Wikidata/Autosuggest_linking_Wikidata_item_after_creating_an_article
2022	Show editnotices on mobile	partially_done	volunteers	https://meta.wikimedia.org/wiki/Community_Wishlist_Survey_2022/Mobile_and_apps/Show_editnotices_on_mobile
2022	Table sorting on mobile	done	misc_WMF	https://meta.wikimedia.org/wiki/Community_Wishlist_Survey_2022/Mobile_and_apps/Table_sorting_on_mobile
2022	Categories in mobile app	done	misc_WMF	https://meta.wikimedia.org/wiki/Community_Wishlist_Survey_2022/Mobile_and_apps/Categories_in_mobile_app
2022	Get WhatLinksHere's lists in alphabetical order	partially_done	misc_WMF	https://meta.wikimedia.org/wiki/Community_Wishlist_Survey_2022/Miscellaneous/Get_WhatLinksHere%27s_lists_in_alphabetical_order
2022	Mass-delete to offer drop-down of standard reasons, or templated reasons.	done	volunteers	https://meta.wikimedia.org/wiki/Community_Wishlist_Survey_2022/Admins_and_patrollers/Mass-delete_to_offer_drop-down_of_standard_reasons,_or_templated_reasons.
2022	Gadget: Who is active	done	misc_WMF	https://meta.wikimedia.org/wiki/Community_Wishlist_Survey_2022/Bots_and_gadgets/Gadget:_Who_is_active
2022	Enable negation for tag filters	done	misc_WMF	https://meta.wikimedia.org/wiki/Community_Wishlist_Survey_2022/Search/Enable_negation_for_tag_filters
2022	Full page editing	done	misc_WMF	https://meta.wikimedia.org/wiki/Community_Wishlist_Survey_2022/Mobile_and_apps/Full_page_editing
2022	Enable Thanks Button by default in Watchlists and Recent Changes	done	misc_WMF	https://meta.wikimedia.org/wiki/Community_Wishlist_Survey_2022/Notifications/Enable_Thanks_Button_by_default_in_Watchlists_and_Recent_Changes
